term,count,num_files
men.,11,7
"indiana,",11,7
plains.,11,7
swung,11,7
violenc,11,7
tragedi,11,7
"acres,",11,7
agreement,11,7
steward,11,7
angl,11,7
lobbi,11,7
here’,11,7
died.,11,7
aggress,11,7
immers,11,7
"themselves,",11,7
religion,11,7
roadsid,11,7
drug,11,7
"come,",11,6
poverti,11,6
production.,11,6
singer,11,6
homestead,11,6
tom,11,6
salt,11,6
"pasture,",11,6
cattle.,11,6
loop,11,6
crest,11,6
architecture.,11,6
electron,11,6
advocaci,11,6
blacksmith,11,6
aunt,11,6
dwell,11,6
missouri.,11,6
jam,11,6
obsess,11,6
ticket,11,6
antiqu,11,6
evolut,11,6
buck,11,6
beef,11,6
crime,11,6
harri,11,6
guess.,11,6
forever.,11,6
pet,11,6
crystal,11,6
landown,11,6
deliber,11,6
peck,11,6
ford,11,6
cornelia,11,5
slice,11,5
congress,11,5
classmat,11,5
reduct,11,5
mexico.,11,5
oklahoma,11,5
gender,11,5
et,11,5
savanna,11,5
colorado,11,5
boston,11,5
extirp,11,5
disturb,11,5
crane,11,5
"campus,",11,5
ain’t,11,4
1910,11,4
rehabilit,11,4
japan,11,3
welfar,11,3
lamb,11,3
kuhn,11,3
anishinaab,11,3
bib,11,3
antibiot,11,3
nodded.,11,3
cranes.,11,3
walli,11,3
sullivan,11,3
burley,11,3
griffin,11,3
bat,11,3
elm,11,3
ricker,11,2
u.,11,2
novak,11,1
adus,11,1
racin,11,1
tibbetts:,11,1
abdulkarim:,11,1
trouper,11,1
councilman,11,1
guggenheim,11,1
**devany**:,11,1
**stowe:**,11,1
jon,10,10
"creek,",10,10
about.,10,10
doing.,10,10
though.,10,10
"size,",10,10
"light,",10,10
midst,10,10
compris,10,10
ecosystem.,10,10
"short,",10,10
attention.,10,10
embarrass,10,10
"soon,",10,10
scatter,10,10
mirror,10,10
<br/>,10,10
"true,",10,10
"else,",10,10
signatur,10,10
tone,10,10
anywher,10,10
stranger,10,10
"lost,",10,10
facilit,10,10
sprout,10,10
"lines,",10,10
thought.,10,10
"learned,",10,10
adjust,10,10
changes.,10,9
trial,10,9
"society,",10,9
sensit,10,9
encompass,10,9
"cold,",10,9
outside.,10,9
me.”,10,9
i.,10,9
"from,",10,9
ridg,10,9
"show,",10,9
god,10,9
saying:,10,9
chief,10,9
"shape,",10,9
old.,10,9
true.,10,9
ideal,10,9
percent.,10,9
"working,",10,9
control.,10,9
notabl,10,9
pivot,10,9
"industry,",10,9
eagl,10,9
shore,10,9
"group,",10,9
revers,10,9
thunder,10,9
roar,10,9
"wide,",10,9
"rain,",10,9
spare,10,9
precis,10,9
destin,10,9
ancient,10,9
"doing,",10,9
indiana,10,9
chain,10,9
sweep,10,9
refus,10,9
next.,10,9
"love,",10,9
"problems,",10,9
magic,10,9
simultan,10,9
fire.,10,9
"issue,",10,9
leadership,10,9
2011,10,9
convey,10,9
humans.,10,9
"strong,",10,9
"sources,",10,9
contempl,10,9
joint,10,9
palm,10,9
flora,10,9
"horses,",10,9
words.,10,9
autumn,10,9
“when,10,9
"station,",10,9
wire,10,9
"over,",10,9
"live,",10,8
[of,10,8
walnut,10,8
full-tim,10,8
solv,10,8
jame,10,8
hail,10,8
unpreced,10,8
promin,10,8
"resources,",10,8
termin,10,8
adjac,10,8
sum,10,8
"scale,",10,8
"research,",10,8
"livestock,",10,8
experiences.,10,8
store.,10,8
envelop,10,8
information.,10,8
street.,10,8
equival,10,8
tin,10,8
bite,10,8
"snow,",10,8
went.,10,8
bedroom,10,8
beam,10,8
“that’,10,8
(as,10,8
recognit,10,8
“one,10,8
bowl,10,8
grind,10,8
eas,10,8
"young,",10,8
plant’,10,8
prairie?,10,8
house’,10,8
"books,",10,8
"nebraska,",10,8
routin,10,8
"parks,",10,8
could.,10,8
"beginning,",10,8
lincoln,10,8
ceil,10,8
wound,10,8
design.,10,8
accommod,10,8
prairie:,10,7
minimum,10,7
note:,10,7
fun.,10,7
"photography,",10,7
freez,10,7
"resilience,",10,7
illumin,10,7
bay,10,7
"office,",10,7
assess,10,7
"bill,",10,7
"""we",10,7
atop,10,7
"feed,",10,7
trait,10,7
nitrogen,10,7
decidu,10,7
spectacular,10,7
wore,10,7
grandpa,10,7
acquaint,10,7
"1,000",10,7
revis,10,7
"head,",10,7
"oklahoma,",10,7
fring,10,7
hell,10,7
pant,10,7
landscapes.,10,7
client,10,7
senat,10,7
migratori,10,7
bubbl,10,7
assumpt,10,7
pink,10,7
acoust,10,7
song.,10,7
mainstream,10,7
activist,10,7
present.,10,7
princip,10,7
"flowers,",10,7
dine,10,7
spanish,10,7
"paper,",10,7
birthday,10,7
one-room,10,7
horizont,10,7
3,10,7
sorri,10,7
burrow,10,6
debat,10,6
radic,10,6
sugar,10,6
financ,10,6
habitat.,10,6
"miles,",10,6
"seed,",10,6
reproduct,10,6
mate,10,6
"teachers,",10,6
upstair,10,6
friends.,10,6
uncommon,10,6
"seat,",10,6
emili,10,6
fur,10,6
synthet,10,6
reproduc,10,6
gear,10,6
"found,",10,6
farm’,10,6
now?,10,6
democrat,10,5
footprint,10,5
agribusi,10,5
conveni,10,5
batch,10,5
pot,10,5
dean,10,5
african-american,10,5
twentieth,10,5
endem,10,5
fork,10,5
cigarett,10,5
tissu,10,5
scenario,10,5
british,10,4
herd.,10,4
caretak,10,4
petal,10,4
hammer,10,4
*des,10,4
jack,10,4
abus,10,4
reform,10,4
decision-mak,10,4
punk,10,4
"wright,",10,4
ribbon,10,4
discharg,10,3
manuscript,10,3
dome,10,3
48,10,3
discount,10,3
"deer,",10,3
fundrais,10,3
alexand,10,3
ramsey,10,2
wright’,10,2
nikon,10,2
du,10,2
brent,10,2
corp,10,2
reopen,10,2
cardin,10,2
cede,10,1
**jf:**,10,1
wyatt,10,1
lon,10,1
akicita,10,1
jaco,10,1
jorg,10,1
(lambda,10,1
(*,10,1
ruth.,10,1
zapien,10,1
paulson,10,1
&emsp;,10,1
appalachian,10,1
"war,",9,9
reminisc,9,9
"two,",9,9
75,9,9
schedul,9,9
made.,9,9
[univers,9,9
longest,9,9
"use,",9,9
"question,",9,9
deriv,9,9
"growth,",9,9
"indeed,",9,9
moral,9,9
valley,9,9
"matter,",9,9
"church,",9,9
(a,9,9
event.,9,9
forth,9,9
"operations,",9,9
eager,9,9
"reasons,",9,9
sidewalk,9,9
love.,9,9
case.,9,9
suburb,9,9
aspir,9,9
70,9,9
urg,9,9
calm,9,9
list.,9,9
stain,9,9
9,9,9
"lands,",9,9
issues.,9,9
"event,",9,9
"coffee,",9,9
born.,9,9
absolut,9,9
location.,9,9
32,9,9
prompt,9,9
west.,9,9
"august,",9,9
"form,",9,9
sip,9,9
"10,000",9,8
canada.,9,8
bald,9,8
belli,9,8
voice.,9,8
stuf,9,8
cat,9,8
warmth,9,8
decemb,9,8
government.,9,8
speaker,9,8
right?,9,8
succeed,9,8
wealth,9,8
"waters,",9,8
order.,9,8
"overall,",9,8
"goals,",9,8
articul,9,8
elder,9,8
16,9,8
prospect,9,8
"action,",9,8
"can,",9,8
gap,9,8
systems.,9,8
flexibl,9,8
amidst,9,8
"north,",9,8
"flat,",9,8
"asked,",9,8
vulner,9,8
substanti,9,8
forev,9,8
"big,",9,8
tile,9,8
latest,9,8
"street,",9,8
memory.,9,8
aliv,9,8
reloc,9,8
"color,",9,8
death.,9,8
perpetu,9,8
"outside,",9,8
himself.,9,8
once.,9,8
"mountains,",9,8
evok,9,8
"changes,",9,8
cap,9,8
dakota.,9,8
rattl,9,8
thrill,9,8
accid,9,8
compass,9,8
suburban,9,8
treasur,9,8
manifest,9,8
breakfast,9,8
non-profit,9,8
storytel,9,8
"hills,",9,8
"career,",9,8
events.,9,8
"sister,",9,8
terrifi,9,8
translat,9,8
since.,9,7
kid.,9,7
support.,9,7
either.,9,7
sampl,9,7
discoveri,9,7
exemplifi,9,7
intric,9,7
retain,9,7
"consequently,",9,7
"forest,",9,7
action.,9,7
"addition,",9,7
city:,9,7
2022.,9,7
happen.,9,7
"decades,",9,7
"fair,",9,7
"present,",9,7
bud,9,7
"wood,",9,7
"horizon,",9,7
deliveri,9,7
worn,9,7
resent,9,7
"simple,",9,7
"location,",9,7
picture.,9,7
cherri,9,7
ray,9,7
2012,9,7
gulf,9,7
ditch,9,7
interven,9,7
biologist,9,7
numbers.,9,7
a.,9,7
limb,9,7
"club,",9,7
theori,9,7
"attention,",9,7
"warm,",9,7
"plains,",9,7
decay,9,7
chore,9,7
salad,9,7
"actually,",9,7
mapl,9,7
"bank,",9,7
fabric,9,7
"new,",9,7
queen,9,7
leaves.,9,7
half.,9,7
rumbl,9,7
"child,",9,7
shove,9,7
leap,9,7
beach,9,7
x,9,6
amend,9,6
"2021,",9,6
experiment,9,6
"gardens,",9,6
catastroph,9,6
ban,9,6
decreas,9,6
statist,9,6
nineteenth,9,6
substanc,9,6
"biodiversity,",9,6
legislatur,9,6
church.,9,6
therebi,9,6
swept,9,6
fee,9,6
infrastructur,9,6
skip,9,6
truck.,9,6
haven,9,6
"materials,",9,6
greenhous,9,6
anniversari,9,6
along.,9,6
stiff,9,6
halfway,9,6
"truck,",9,6
everybody.,9,6
outcom,9,6
"weeds,",9,6
perch,9,6
underneath,9,6
complain,9,6
lectur,9,6
eaten,9,6
"woods,",9,6
"climate,",9,6
women’,9,6
"further,",9,6
“he,9,6
nut,9,6
"podcast,",9,6
aster,9,6
dead.,9,6
solo,9,6
shovel,9,6
[this,9,6
motel,9,6
gut,9,6
addict,9,6
basketbal,9,6
gene,9,6
align,9,6
porch.,9,6
contour,9,6
sway,9,6
ornament,9,6
pedal,9,6
hydraul,9,6
fractur,9,6
betti,9,5
specimen,9,5
mattress,9,5
broadcast,9,5
theater,9,5
italian,9,5
"machine,",9,5
limeston,9,5
"arrived,",9,5
covid,9,5
athlet,9,5
bathroom,9,5
wheel.,9,5
glacier,9,5
northeastern,9,5
exercis,9,5
pray,9,5
specul,9,5
seeds.,9,5
"potatoes,",9,5
"law,",9,5
“old,9,5
user,9,5
governor,9,5
restoration.,9,5
comprehens,9,5
upcom,9,5
garden.,9,5
dispers,9,5
ash,9,5
"managers,",9,5
diagnos,9,5
photography.,9,5
walker,9,5
interviewe,9,5
*to,9,5
inject,9,5
memories.,9,5
sand.,9,5
revolut,9,5
clutch,9,5
astronom,9,4
"hunting,",9,4
cellar,9,4
investor,9,4
planet’,9,4
burger,9,4
edibl,9,4
"meeting,",9,4
hawk,9,4
shallow,9,4
band.,9,4
corral,9,4
chop,9,4
marsh,9,4
hickori,9,4
penni,9,4
[which,9,4
"engine,",9,4
biom,9,4
rancher,9,4
dalla,9,4
matt,9,4
"york,",9,4
“but,9,4
mural,9,4
plaster,9,3
norway,9,3
continent,9,3
rake,9,3
emiss,9,3
pothol,9,3
furnish,9,3
shorebird,9,3
healthcar,9,3
bacteria,9,3
jasper,9,3
motorcycl,9,3
calori,9,2
richard’,9,2
downi,9,2
tuft,9,2
###,9,2
thoreau,9,2
walden,9,2
mica,9,2
ranch.,9,2
ya,9,2
mario,9,2
derecho,9,2
chippewa,9,1
morrissey,9,1
derek,9,1
pawne,9,1
boweri,9,1
**potter**:,9,1
bison’,9,1
otonwahe.,9,1
**omaña:**,9,1
**ottenstein:**,9,1
**bower:**,9,1
guild,9,1
rabbit’,9,1
beekeep,9,1
hive,9,1
kahn’,9,1
(/,9,1
u’,9,1
trout.,9,1
lupin,9,1
bmw,9,1
find.,8,8
survive.,8,8
"experiences,",8,8
it:,8,8
torn,8,8
"oh,",8,8
"important,",8,8
difficult.,8,8
sandwich,8,8
profound,8,8
vivid,8,8
fifth,8,8
canadian,8,8
decades.,8,8
surplus,8,8
predomin,8,8
mammal,8,8
"disease,",8,8
fought,8,8
underground,8,8
beg,8,8
crown,8,8
casual,8,8
"body,",8,8
dwindl,8,8
"friend,",8,8
both.,8,8
driveway,8,8
assur,8,8
"alone,",8,8
"husband,",8,8
garag,8,8
morning.,8,8
accur,8,8
share.,8,8
rut,8,8
"systems,",8,8
neighborhood.,8,8
by.,8,8
13,8,8
bath,8,8
neglect,8,8
laundri,8,8
prairie’,8,8
counter,8,8
bold,8,8
founder,8,8
composit,8,8
"hill,",8,8
2008,8,8
fierc,8,8
for.,8,8
"connection,",8,8
structure.,8,8
year’,8,8
studies.,8,8
shine,8,8
dictat,8,8
"technology,",8,8
fulfil,8,8
lost.,8,8
age.,8,8
"distance,",8,8
artwork,8,8
toll,8,8
ones.,8,8
briefli,8,8
it;,8,8
instinct,8,8
“there,8,8
"done,",8,8
shake,8,8
frozen,8,8
drew,8,8
permiss,8,8
happened.,8,8
outer,8,8
"bad,",8,8
"different,",8,8
ritual,8,8
soak,8,8
astonish,8,8
harsh,8,8
texas.,8,8
"interview,",8,7
"huge,",8,7
trigger,8,7
township,8,7
"created,",8,7
"ideas,",8,7
violent,8,7
sixth,8,7
"minneapolis,",8,7
technology.,8,7
york.,8,7
passag,8,7
entitl,8,7
zone,8,7
"management,",8,7
mandat,8,7
skin.,8,7
virtu,8,7
analyz,8,7
reaction,8,7
alli,8,7
"air,",8,7
(see,8,7
"industries,",8,7
inside.,8,7
"legs,",8,7
"shoes,",8,7
trunk,8,7
"service,",8,7
"care,",8,7
mentor,8,7
available.,8,7
diminish,8,7
activities.,8,7
entri,8,7
spark,8,7
rhythmic,8,7
repli,8,7
term.,8,7
reconnect,8,7
needs.,8,7
detriment,8,7
"4,",8,7
deni,8,7
operation.,8,7
rage,8,7
"lights,",8,7
"many,",8,7
"nothing,",8,7
truth.,8,7
portray,8,7
"look,",8,7
reality.,8,7
"interesting,",8,7
matter.,8,7
sauc,8,7
tract,8,7
flowers.,8,7
hip,8,7
reassur,8,7
elsewhere.,8,7
grassi,8,7
region’,8,7
90,8,7
r.,8,7
maxim,8,7
growth.,8,7
"act,",8,7
enterpris,8,7
2014,8,7
golf,8,7
loud,8,7
"problem,",8,7
"website,",8,7
crisis.,8,7
arctic,8,7
meander,8,7
beckon,8,7
"direction,",8,7
"song,",8,7
answer.,8,7
99,8,7
town’,8,7
glad,8,7
"artist,",8,7
body.,8,7
bank.,8,7
"practice,",8,7
wings.,8,7
"god,",8,7
basebal,8,7
parad,8,7
"throat,",8,7
"behind,",8,7
rag,8,7
center.,8,7
t.,8,7
viewer,8,7
king,8,7
resolv,8,7
point.,8,7
“oh,8,7
hasn’t,8,7
"by,",8,7
someday,8,7
"sand,",8,7
muddi,8,7
that.”,8,7
homemad,8,7
"study,",8,6
diversifi,8,6
uniform,8,6
manipul,8,6
light.,8,6
"quality,",8,6
gasolin,8,6
renown,8,6
ton,8,6
flicker,8,6
mammoth,8,6
"company,",8,6
"move,",8,6
act.,8,6
book.,8,6
logic,8,6
sustainability.,8,6
slender,8,6
"questions,",8,6
"2011,",8,6
practices.,8,6
<!--,8,6
-->,8,6
"2010,",8,6
"conversation,",8,6
stabl,8,6
encroach,8,6
affili,8,6
2020,8,6
symbol,8,6
shows.,8,6
"images,",8,6
"article,",8,6
gallon,8,6
sound.,8,6
contrari,8,6
advis,8,6
a.m.,8,6
pie,8,6
supervisor,8,6
contamin,8,6
"university,",8,6
moines.,8,6
metaphor,8,6
crush,8,6
hind,8,6
through.,8,6
toler,8,6
swallow,8,6
explan,8,6
"stage,",8,6
scratch,8,6
intellig,8,6
rest.,8,6
"hogs,",8,6
leaf,8,6
vein,8,6
stroke,8,6
tea,8,6
"neighborhood,",8,6
plate,8,6
coastal,8,6
spike,8,6
melt,8,6
vibrant,8,6
shortag,8,6
"forests,",8,6
tore,8,6
what?,8,6
rehears,8,6
science.,8,6
glide,8,6
classes.,8,6
"concerns,",8,6
plan.,8,6
genuin,8,6
milk.,8,6
services.,8,6
cold.,8,6
"hay,",8,6
“whi,8,6
pork,8,6
depth,8,6
ii,8,6
rid,8,6
person’,8,6
came.,8,6
oliv,8,6
germani,8,6
"flower,",8,6
plane,8,6
coalit,8,5
"okay,",8,5
materials.,8,5
household,8,5
miner,8,5
man.,8,5
societ,8,5
"concrete,",8,5
alley,8,5
suitabl,8,5
dogs.,8,5
onion,8,5
"tomatoes,",8,5
alfalfa,8,5
vegetables.,8,5
rig,8,5
pandemic.,8,5
builder,8,5
backyard.,8,5
"residents,",8,5
slower,8,5
band’,8,5
h.,8,5
woodi,8,5
amateur,8,5
tremend,8,5
"roads,",8,5
"dinner,",8,5
conven,8,5
"100,000",8,5
stewardship,8,5
"cancer,",8,5
chorus,8,5
"guitar,",8,5
"musicians,",8,5
catalog,8,5
stove.,8,5
"loud,",8,5
blade,8,5
kinda,8,5
elementari,8,5
style.,8,5
there.”,8,5
rumor,8,5
reservoir,8,5
column,8,5
1.,8,5
2.,8,5
they'v,8,4
yeah.,8,4
el,8,4
exterior,8,4
kent,8,4
cano,8,4
fluctuat,8,4
comb,8,4
“prairie”,8,4
"percent,",8,4
stomp,8,4
"great,",8,4
deposit,8,4
fragil,8,4
bin,8,4
ryan,8,4
cake,8,4
harvest.,8,4
benjamin,8,4
grey,8,4
"columbia,",8,3
/,8,3
loess,8,3
"cow,",8,3
flour,8,3
“no”,8,3
fluid,8,3
modul,8,3
foray,8,3
pollution.,8,3
beetl,8,3
dirt.,8,3
scott,8,3
trumpet,8,3
drummer,8,3
**to,8,3
oregon,8,3
"bird,",8,3
chef,8,3
"fishing,",8,2
oglala,8,2
meskwaki,8,2
mall.,8,2
truste,8,2
chad,8,2
jake,8,2
white-tail,8,2
crowbar,8,2
von,8,2
dmww,8,2
colt,8,2
‘21,8,2
tim,8,2
hose,8,2
"ruth,",8,2
bauman,8,2
spice,8,2
‘n,8,2
"mall,",8,1
shorty’,8,1
schwartz:,8,1
cooksvill,8,1
interglaci,8,1
*silo*,8,1
"omniciye,",8,1
wicasa,8,1
carver,8,1
sajad,8,1
obit,8,1
buxton,8,1
cochran,8,1
velna:,8,1
sandy:,8,1
"anytown,",8,1
[laughs].,8,1
roberto,8,1
(defin,8,1
ruth’,8,1
janet,8,1
merchants’,8,1
ulyss,8,1
amana’,8,1
aresti,8,1
janzen,8,1
kori,8,1
polari,8,1
pace,7,7
ethic,7,7
eat.,7,7
erod,7,7
"anything,",7,7
tree.,7,7
"depression,",7,7
justic,7,7
45,7,7
justice.,7,7
700,7,7
"success,",7,7
joseph,7,7
behav,7,7
ignit,7,7
photographs.,7,7
confer,7,7
"oil,",7,7
confus,7,7
valid,7,7
4,7,7
remains.,7,7
"leaders,",7,7
youth.,7,7
"dirt,",7,7
privileg,7,7
eighteen,7,7
sink,7,7
"east,",7,7
stand.,7,7
"white,",7,7
power.,7,7
evening.,7,7
"sustainability,",7,7
sprawl,7,7
anxieti,7,7
university.,7,7
beyond.,7,7
grasses.,7,7
cooler,7,7
eye.,7,7
24,7,7
acre.,7,7
"need,",7,7
employe,7,7
sight.,7,7
deal.,7,7
development.,7,7
sole,7,7
dot,7,7
"media,",7,7
influenti,7,7
"best,",7,7
leave.,7,7
plant.,7,7
glow,7,7
"leaves,",7,7
delay,7,7
"jobs,",7,7
humbl,7,7
"neck,",7,7
sentiment,7,7
gaze,7,7
unfamiliar,7,7
month.,7,7
scale.,7,7
spell,7,7
silver,7,7
.pdf,7,7
closed.,7,7
boat,7,7
seat.,7,7
dread,7,7
feed.,7,7
dark.,7,7
fallow,7,7
been.,7,7
sector,7,7
interests.,7,7
headlin,7,7
oblig,7,7
mistak,7,7
"particular,",7,7
scoop,7,7
pages.,7,7
acut,7,7
stun,7,7
"board,",7,7
buzz,7,7
mood,7,7
haunt,7,7
map.,7,7
interst,7,7
</a>,7,7
"staff,",7,7
hug,7,7
other’,7,7
unfold,7,7
aris,7,7
small-town,7,7
childhood.,7,7
exhaust,7,7
"forward,",7,7
"march,",7,7
“as,7,7
"grasslands,",7,7
"fun,",7,7
sibl,7,7
"mud,",7,7
nicknam,7,7
question.,7,7
format.,7,7
parallel,7,7
"sound,",7,7
acceler,7,7
closest,7,7
"workers,",7,7
barrier,7,7
color.,7,7
"larger,",7,7
illinois.,7,7
"think,",7,7
towns.,7,7
spontan,7,7
"dry,",7,7
rope,7,7
desert,7,7
*in,7,7
"erosion,",7,7
self-suffici,7,7
bore,7,7
blown,7,7
piece.,7,7
prairie”,7,7
"youth,",7,7
creep,7,7
sweat,7,7
"above,",7,7
regret,7,7
"phone,",7,7
sunset,7,7
"talked,",7,7
pan,7,6
peter,7,6
eighth,7,6
"2,000",7,6
"reality,",7,6
junior,7,6
academi,7,6
working.,7,6
bit.,7,6
many.,7,6
"at,",7,6
orient,7,6
avenu,7,6
consumpt,7,6
urgent,7,6
planet.,7,6
europ,7,6
mitig,7,6
"sites,",7,6
provis,7,6
alik,7,6
"date,",7,6
buffer,7,6
livelihood,7,6
standards.,7,6
"buffalo,",7,6
"bowl,",7,6
"woman,",7,6
"ecology,",7,6
"natural,",7,6
scan,7,6
2006,7,6
generos,7,6
categori,7,6
gees,7,6
"who,",7,6
rip,7,6
delici,7,6
peel,7,6
exceed,7,6
"response,",7,6
infograph,7,6
predat,7,6
livestock.,7,6
"brick,",7,6
"perhaps,",7,6
"purpose,",7,6
outlet,7,6
"government,",7,6
"construction,",7,6
nothing.,7,6
"businesses,",7,6
2),7,6
nonprofit,7,6
emphasi,7,6
coat,7,6
drastic,7,6
"houses,",7,6
indoor,7,6
spill,7,6
kitten,7,6
brown.,7,6
bother,7,6
sleep.,7,6
you?,7,6
"girl,",7,6
split,7,6
"foundation,",7,6
journalist,7,6
"local,",7,6
mainten,7,6
confront,7,6
seen.,7,6
"labor,",7,6
"fence,",7,6
decline.,7,6
wildlife.,7,6
"conditions,",7,6
"sizes,",7,6
campaign,7,6
"far,",7,6
upset,7,6
start.,7,6
unawar,7,6
“for,7,6
"joy,",7,6
"photographs,",7,6
neighbor’,7,6
"part,",7,6
found.,7,6
(i,7,6
m.,7,6
nearest,7,6
victim,7,6
part.,7,6
identif,7,6
hint,7,6
advent,7,6
courag,7,6
sturdi,7,6
leather,7,6
retreat,7,6
"sons,",7,6
heritage.,7,6
"wyoming,",7,6
nowher,7,6
14,7,6
eleg,7,6
bad.,7,6
protein,7,6
butcher,7,6
legs.,7,6
"earlier,",7,6
cotton,7,6
rod,7,6
tag,7,6
"1970s,",7,6
"native,",7,6
hospital.,7,6
"thick,",7,6
"when,",7,6
free.,7,6
cows.,7,6
"driver,",7,6
shirt,7,6
son’,7,6
“and,7,6
were.,7,6
“i’ll,7,6
“there’,7,6
"older,",7,6
"fast,",7,6
involved.,7,6
position.,7,6
holi,7,6
poison,7,6
me:,7,6
white.,7,6
eleven,7,6
"childhood,",7,6
"vision,",7,6
19th,7,6
tenth,7,6
"have,",7,6
"brothers,",7,6
ghost,7,6
swipe,7,6
produce.,7,5
differently.,7,5
conditions.,7,5
procedur,7,5
"learning,",7,5
sacrific,7,5
interconnect,7,5
pleistocen,7,5
hurri,7,5
scholar,7,5
soybeans.,7,5
extinct,7,5
loss.,7,5
jean,7,5
passion.,7,5
landlord,7,5
temperature.,7,5
"could,",7,5
"1974,",7,5
stark,7,5
sheer,7,5
"stores,",7,5
steam,7,5
slap,7,5
"americans,",7,5
archiv,7,5
cent,7,5
ruin,7,5
law.,7,5
variabl,7,5
tomato,7,5
pheasant,7,5
rust,7,5
"clean,",7,5
us.”,7,5
documentari,7,5
1980s,7,5
admiss,7,5
"television,",7,5
freeway,7,5
litter,7,5
"humans,",7,5
"wild,",7,5
"happen,",7,5
“no,7,5
buddi,7,5
neutral,7,5
rooster,7,5
"hands,",7,5
instructor,7,5
vagu,7,5
tent,7,5
wine,7,5
warmer,7,5
bush,7,5
day’,7,5
carpet,7,5
crazi,7,5
populations.,7,5
"projects,",7,5
songs.,7,5
(mi,7,5
children’,7,5
suicid,7,5
readili,7,5
"write,",7,5
chew,7,5
[when,7,5
"social,",7,5
transfer,7,5
faces.,7,5
fault,7,5
out.”,7,5
podcast,7,5
incent,7,5
casualti,7,5
"restoration,",7,5
thinking:,7,5
impos,7,5
fame,7,5
"minutes,",7,5
you'v,7,4
zero,7,4
monocultur,7,4
yearn,7,4
"grade,",7,4
india,7,4
"english,",7,4
buggi,7,4
engine.,7,4
spruce,7,4
archaeolog,7,4
affirm,7,4
poet,7,4
(especi,7,4
biodiversity.,7,4
ma,7,4
fungi,7,4
tourist,7,4
ordin,7,4
assimil,7,4
cucumb,7,4
talking.,7,4
ed,7,4
wednesday,7,4
hydrolog,7,4
brake,7,4
dodg,7,4
airport,7,4
manner,7,4
candl,7,4
stove,7,4
correspond,7,4
seedl,7,4
carcass,7,4
"sheep,",7,4
bang,7,4
tech,7,4
segreg,7,4
pasture.,7,4
animal’,7,4
tama,7,4
montana,7,4
calves.,7,4
"restaurant,",7,4
development,7,4
alleg,7,4
everybody’,7,4
"birth,",7,4
boy’,7,4
home’,7,4
imprint,7,4
veteran,7,4
cart,7,4
1974,7,4
drum,7,4
visitors.,7,4
"colorado,",7,4
"blue,",7,4
unlimit,7,3
(p.,7,3
loan,7,3
p.m.,7,3
dam,7,3
kernel,7,3
learning.,7,3
resettl,7,3
scholarship,7,3
"markets,",7,3
sophomor,7,3
carrot,7,3
lili,7,3
"davenport,",7,3
rachel,7,3
"(e.g.,",7,3
juvenil,7,3
tractor.,7,3
aaron,7,3
uniti,7,3
tobacco,7,3
wayn,7,3
notebook,7,3
induct,7,3
sled,7,3
dartanyan,7,3
sandhil,7,3
edward,7,3
hairi,7,3
grit,7,3
sanctuary.,7,3
"bass,",7,3
edgerton,7,2
&nbsp;,7,2
conner,7,2
wolves.,7,2
letti,7,2
virus,7,2
leasehold,7,2
mayflow,7,2
[all,7,2
streams.,7,2
patent,7,2
[monarch,7,2
twine,7,2
"vote,",7,2
"alice,",7,2
nonviol,7,2
ron,7,2
ellsworth,7,2
"1918,",7,2
"herd,",7,2
melvin,7,2
edna,7,2
edison,7,2
lambert,7,1
mct,7,1
1854,7,1
portag,7,1
boi,7,1
hoch,7,1
adu,7,1
**as:**,7,1
vardø,7,1
ausilio,7,1
_rootstalk_:,7,1
**gaunt**:,7,1
marcia,7,1
**hansen**:,7,1
eldora,7,1
clostridium,7,1
robl,7,1
mum,7,1
maharishi’,7,1
packard,7,1
eureka,7,1
w,7,1
castello,7,1
gonzalez,7,1
rabalais’,7,1
astronomi,7,1
red-head,7,1
abbi,7,1
tony’,7,1
lorrain,7,1
pollock’,7,1
keokuk,7,1
vervain,7,1
boyc,7,1
"andelson,",6,6
thread,6,6
"2,",6,6
"teens,",6,6
top.,6,6
important.,6,6
up?,6,6
enemi,6,6
squirrel,6,6
"50,000",6,6
here;,6,6
reliant,6,6
two.,6,6
"1990s,",6,6
"brother,",6,6
weird,6,6
identity.,6,6
okay.,6,6
pregnant,6,6
citizens.,6,6
career.,6,6
intrigu,6,6
"numbers,",6,6
common.,6,6
boast,6,6
practice.,6,6
"falls,",6,6
"necessary,",6,6
"difficult,",6,6
"game,",6,6
"supplies,",6,6
reclaim,6,6
"historically,",6,6
mine.,6,6
estat,6,6
evalu,6,6
prohibit,6,6
recount,6,6
ceremoni,6,6
"wetlands,",6,6
_the,6,6
"ourselves,",6,6
flow.,6,6
well-known,6,6
dog.,6,6
contin,6,6
testifi,6,6
repair,6,6
"equipment,",6,6
darken,6,6
"himself,",6,6
hid,6,6
shelv,6,6
spider,6,6
"stopped,",6,6
"essay,",6,6
generous,6,6
"early,",6,6
"1978,",6,6
"2007,",6,6
marker,6,6
public.,6,6
whip,6,6
fraction,6,6
county.,6,6
return.,6,6
"july,",6,6
"""you",6,6
everywhere.,6,6
snow.,6,6
resolut,6,6
"vegetables,",6,6
club.,6,6
heat.,6,6
"songs,",6,6
temporari,6,6
"term,",6,6
apart.,6,6
roof.,6,6
everyone.,6,6
(includ,6,6
spars,6,6
"newspaper,",6,6
"three,",6,6
stapl,6,6
